,locator_address,coord
173,"256781 hwy 101, port angeles, wa 98362 Port angeles WA 98362","(48.115948599999996, -123.42730473982375)"
174,"5303 rainier ave s unit a, seattle, wa 98118 Seattle WA 98118","(47.5535399, -122.2804642)"
175,"136 stewart rd se # 1g, pacific, wa 98047 Pacific WA 98047","(47.506961950000004, -122.33209072350257)"
176,"deliveries only, pacific, wa 98047 Pacific WA 98047","(47.26426266306145, -122.24699158060943)"
177,"1202 a street south east, auburn, washington 98002 Auburn WA 98002","(47.29706491836735, -122.22876812244898)"
178,"delivery only, auburn, washington 98002 Auburn WA 98002","(47.305260412475555, -122.21562647099755)"
179,"deliveries only, graham, wa 98338 Graham WA 98338","(47.05654794139772, -122.29125304659459)"
180,"deliveries only, orting, wa 98360 Orting WA 98360","(47.10633749550944, -122.21432158847904)"
181,"deliveries only, puyallup, wa 98371 Puyallup WA 98371","(47.194935804691376, -122.30578051134404)"
182,"19815 mountain hwy e, spanaway, washington 98387 Spanaway WA 98387","(47.07713593959731, -122.42614655704698)"
183,"deliveries only, tacoma, wa 98409 Tacoma WA 98409","(47.210210212797605, -122.47578694141298)"
184,"deliveries only, tacoma, wa 98407 Tacoma WA 98407","(47.279019784876034, -122.50541334388407)"
185,"deliveries only, federal way, wa 98003 Federal way WA 98003","(47.31512474211252, -122.31224359522199)"
186,"delivery only, federal way, wa 98003 Federal way WA 98003","(47.31512474211252, -122.31224359522199)"
187,"deliveries only, kent, wa 98030 Kent WA 98030","(47.36955676716768, -122.19076573717007)"
188,"deliveries only, milton, wa 98354 Milton WA 98354","(47.26195796618399, -122.3062599836711)"
189,"delivery only, kent, wa 98030 Kent WA 98030","(47.36955676716768, -122.19076573717007)"
190,"6223 112th st e, puyallup, wa 98373 Puyallup WA 98373","(47.148495009859595, -122.30967768622351)"
191,"deliveries only, sumner, wa 98390 Sumner WA 98390","(47.26713006042786, -122.24413188283035)"
192,"4002 pacific ave, tacoma, wa 98418 Tacoma WA 98418","(47.220738859060404, -122.4341509194631)"
193,"8040 day road west building 3 unit 1, bainbridge island, wa 98110 Bainbridge island WA 98110","(47.63758707577442, -122.5252683702042)"
194,"none, asotin, wa 99164 Asotin WA 99164","(46.3283946, -117.1057163)"
