"Note: The report represents net sales that are self-reported by retail marijuana licensees. Information is subject to change due to late reports, corrections or audit findings. This file will be updated by approximately the 10th business day of each month.       ",,,
Last Update: 06/09/2020,,,
,,,
License Number,Reporting Period, Total Sales, Excise Tax Due 
424117,2017-11,"88,708","32,822"
424190,2017-11,"85,934","31,795"
424257,2017-11,"164,611","60,906"
424273,2017-11,"28,173","10,424"
424311,2017-11,"563,860","208,628"
424473,2017-11,"91,409","33,821"
424599,2017-11,"19,500","7,215"
424647,2017-11,"99,733","36,901"
424747,2017-11,"541,547","200,373"
424751,2017-11,"543,833","201,218"
424848,2017-11,"353,707","130,871"
424877,2017-11,"28,580","10,574"
425068,2017-11,"176,870","65,442"
425273,2017-11,"340,839","126,111"
425362,2017-11,"183,843","68,022"
425362,2017-11,"183,843","68,022"
425507,2017-11,"2,545",942
425539,2017-11,"533,041","197,225"
425585,2017-11,"70,449","26,066"
71368,2017-12,"439,230","162,515"
76189,2017-12,"24,186","8,949"
79013,2017-12,"183,504","67,896"
79720,2017-12,"128,849","47,674"
81400,2017-12,"110,466","40,872"
82587,2017-12,"541,898","200,502"
84045,2017-12,"483,433","178,870"
84130,2017-12,"24,605","9,104"
84154,2017-12,"207,880","76,916"
85059,2017-12,504,187
86054,2017-12,"50,524","18,694"
86823,2017-12,"138,418","51,215"
350641,2017-12,"40,728","15,069"
350766,2017-12,"13,797","5,105"
352673,2017-12,"60,525","22,394"
353260,2017-12,"43,019","15,917"
353928,2017-12,"255,030","94,361"
353993,2017-12,"42,235","15,627"
354876,2017-12,"243,576","90,123"
360307,2017-12,"431,722","159,737"
400209,2017-12,"57,208","21,167"
400772,2017-12,"172,447","63,805"
402039,2017-12,"302,741","112,014"
402780,2017-12,"102,635","37,975"
404933,2017-12,"103,779","38,398"
410273,2017-12,"1,051,138","388,921"
410332,2017-12,"194,153","71,837"
410798,2017-12,"127,694","47,247"
410831,2017-12,"365,643","135,288"
411970,2017-12,"118,047","43,677"
412066,2017-12,"55,699","20,608"
412370,2017-12,"189,219","70,011"
412466,2017-12,"101,400","37,518"
412490,2017-12,"401,551","148,574"
412494,2017-12,"725,672","268,499"
412921,2017-12,"159,873","59,153"
412922,2017-12,"144,716","53,545"
412923,2017-12,"705,355","260,981"
413258,2017-12,"309,240","114,419"
413314,2017-12,"185,501","68,635"
413319,2017-12,"172,605","63,864"
413358,2017-12,"1,240,558","459,006"
413363,2017-12,"402,375","148,879"
413366,2017-12,"134,853","49,895"
413369,2017-12,"502,164","185,801"
413372,2017-12,"293,579","108,624"
413374,2017-12,"220,614","81,627"
413374,2017-12,"14,441","5,343"
413385,2017-12,"54,886","20,308"
413407,2017-12,"85,319","31,568"
413414,2017-12,"85,576","31,663"
413420,2017-12,"445,288","164,756"
413426,2017-12,"240,776","89,087"
413427,2017-12,"173,089","64,043"
413428,2017-12,"75,207","27,826"
413479,2017-12,"180,551","66,804"
413481,2017-12,"214,670","79,428"
413492,2017-12,"121,210","44,848"
413519,2017-12,"171,399","63,418"
413529,2017-12,"57,858","21,408"
413530,2017-12,"24,808","9,179"
413534,2017-12,"164,550","60,883"
413541,2017-12,"209,710","77,593"
413544,2017-12,"181,543","67,171"
413550,2017-12,"209,588","77,548"
413551,2017-12,"144,485","53,460"
413558,2017-12,"416,277","154,022"
413570,2017-12,"413,541","153,010"
413586,2017-12,"97,577","36,103"
413596,2017-12,"96,462","35,691"
413600,2017-12,"77,743","28,765"
413677,2017-12,"117,940","43,638"
413683,2017-12,"639,337","236,555"
413692,2017-12,"261,373","96,708"
413700,2017-12,"5,603","2,073"
413702,2017-12,"32,770","12,125"
413727,2017-12,"171,434","63,431"
413729,2017-12,"103,044","38,126"
413732,2017-12,"340,384","125,942"
413737,2017-12,"40,085","14,831"
413739,2017-12,"491,385","181,812"
413762,2017-12,"159,838","59,140"
413773,2017-12,"154,649","57,220"
413791,2017-12,"344,266","127,379"
413798,2017-12,"109,381","40,471"
413801,2017-12,"54,649","20,220"
413802,2017-12,"90,564","33,509"
413803,2017-12,"257,027","95,100"
413809,2017-12,"222,398","82,287"
413812,2017-12,"109,719","40,596"
413813,2017-12,"290,967","107,658"
413821,2017-12,"67,744","25,065"
413843,2017-12,"156,835","58,029"
413846,2017-12,"4,918","1,820"
413847,2017-12,"93,467","34,583"
413848,2017-12,"536,131","198,369"
413870,2017-12,"160,249","59,292"
413886,2017-12,"191,354","70,801"
413893,2017-12,"309,762","114,612"
413897,2017-12,"58,411","21,612"
413901,2017-12,"194,378","71,920"
413930,2017-12,"60,213","22,279"
413940,2017-12,"206,997","76,589"
413994,2017-12,"57,248","21,182"
414002,2017-12,"160,651","59,441"
414060,2017-12,"193,029","71,421"
414065,2017-12,"152,389","56,384"
414103,2017-12,"98,088","36,293"
414160,2017-12,"171,465","63,442"
414174,2017-12,"283,159","104,769"
414181,2017-12,"243,311","90,025"
414211,2017-12,"419,795","155,324"
414216,2017-12,"10,268","3,799"
414225,2017-12,"237,743","87,965"
414243,2017-12,"130,611","48,326"
414250,2017-12,34,13
414256,2017-12,"107,455","39,758"
414280,2017-12,"151,121","55,915"
414292,2017-12,"64,475","23,856"
414295,2017-12,"776,555","287,325"
414298,2017-12,"72,327","26,761"
414345,2017-12,"126,283","46,725"
414356,2017-12,"218,813","80,961"
414381,2017-12,0,0
414398,2017-12,"234,148","86,635"
414425,2017-12,"120,845","44,713"
414430,2017-12,"203,293","75,218"
414441,2017-12,"246,362","91,154"
414449,2017-12,"588,855","217,876"
414450,2017-12,"20,485","7,579"
414460,2017-12,"23,741","8,784"
414470,2017-12,"248,852","92,075"
414491,2017-12,"389,789","144,222"
414495,2017-12,"192,646","71,279"
414500,2017-12,"154,873","57,303"
414503,2017-12,"249,894","92,461"
414520,2017-12,"708,332","262,083"
414532,2017-12,"446,829","165,327"
414533,2017-12,"808,456","299,129"
414539,2017-12,"3,178","1,176"
414550,2017-12,"142,664","52,786"
414558,2017-12,"30,909","11,437"
414569,2017-12,"255,777","94,637"
414573,2017-12,"22,635","8,375"
414574,2017-12,"158,293","58,568"
414656,2017-12,"154,110","57,021"
414664,2017-12,"423,475","156,686"
414680,2017-12,"128,472","47,535"
414712,2017-12,"22,953","8,493"
414714,2017-12,"833,212","308,288"
414716,2017-12,"197,945","73,240"
414723,2017-12,"289,776","107,217"
414731,2017-12,"511,457","189,239"
414733,2017-12,"386,378","142,960"
414735,2017-12,"148,966","55,117"
414740,2017-12,"104,187","38,549"
414749,2017-12,"39,226","14,514"
414750,2017-12,"104,259","38,576"
414750,2017-12,"104,259","38,576"
414755,2017-12,"57,724","21,358"
414761,2017-12,"89,639","33,166"
414780,2017-12,"104,140","38,532"
414785,2017-12,"161,617","59,798"
414803,2017-12,"27,249","10,082"
414812,2017-12,"263,832","97,618"
414814,2017-12,"107,793","39,883"
414817,2017-12,"355,936","131,696"
414823,2017-12,"505,916","187,189"
414829,2017-12,"528,705","195,621"
414841,2017-12,"473,351","175,140"
414864,2017-12,"178,942","66,208"
414867,2017-12,"799,358","295,762"
414868,2017-12,"346,877","128,344"
414871,2017-12,"227,154","84,047"
414876,2017-12,"1,500,953","555,352"
414884,2017-12,"207,463","76,761"
414885,2017-12,"26,682","9,872"
414889,2017-12,"416,905","154,255"
414893,2017-12,"205,602","76,073"
414918,2017-12,"59,447","21,995"
414958,2017-12,"123,032","45,522"
414959,2017-12,"17,009","6,293"
414963,2017-12,"181,589","67,188"
414970,2017-12,"220,434","81,561"
414983,2017-12,"435,647","161,189"
414995,2017-12,"57,579","21,304"
415001,2017-12,"173,774","64,297"
415010,2017-12,"409,452","151,497"
415031,2017-12,"198,842","73,572"
415032,2017-12,"33,301","12,321"
415064,2017-12,"50,449","18,666"
415083,2017-12,"776,396","287,267"
415094,2017-12,"350,308","129,614"
415112,2017-12,"521,423","192,927"
415115,2017-12,"177,425","65,647"
415124,2017-12,"79,841","29,541"
415130,2017-12,"227,529","84,186"
415132,2017-12,"212,619","78,669"
415183,2017-12,"245,555","90,855"
415198,2017-12,"332,079","122,869"
415203,2017-12,"154,196","57,052"
415211,2017-12,"267,988","99,155"
415216,2017-12,"272,464","100,812"
415222,2017-12,"189,675","70,180"
415229,2017-12,"323,332","119,633"
415238,2017-12,"181,304","67,083"
415253,2017-12,"579,456","214,399"
415287,2017-12,"64,278","23,783"
415294,2017-12,"45,503","16,836"
415303,2017-12,"122,913","45,478"
415314,2017-12,"70,583","26,116"
415325,2017-12,"67,061","24,813"
415333,2017-12,"545,605","201,874"
415343,2017-12,"78,663","29,105"
415348,2017-12,"164,584","60,896"
415361,2017-12,"53,448","19,776"
415406,2017-12,"293,576","108,623"
415410,2017-12,"272,383","100,782"
415429,2017-12,"112,501","41,625"
415445,2017-12,"76,601","28,342"
415470,2017-12,"247,266","91,489"
415484,2017-12,"56,712","20,983"
415486,2017-12,"170,681","63,152"
415488,2017-12,"165,529","61,246"
415504,2017-12,"476,676","176,370"
415507,2017-12,"239,331","88,553"
415509,2017-12,"117,716","43,555"
415513,2017-12,"118,309","43,774"
415517,2017-12,"214,694","79,437"
415523,2017-12,"79,578","29,444"
415526,2017-12,"292,652","108,281"
415534,2017-12,"103,474","38,285"
415539,2017-12,"63,055","23,331"
415567,2017-12,"237,138","87,741"
415575,2017-12,"155,652","57,591"
415641,2017-12,"174,812","64,680"
415645,2017-12,"182,870","67,662"
415652,2017-12,"299,483","110,809"
415658,2017-12,"183,223","67,793"
416102,2017-12,"232,253","85,934"
416540,2017-12,"244,091","90,314"
417114,2017-12,"341,530","126,366"
417469,2017-12,"71,625","26,501"
417486,2017-12,"128,206","47,436"
417643,2017-12,"196,633","72,754"
417646,2017-12,"152,842","56,551"
417880,2017-12,"113,973","42,170"
417949,2017-12,7,3
