PRODUCERS,,,,,Summary to Date,,,,,,,,
License Number,Reporting Period, Total Sales, Excise Tax Due ,,,Sales,,,,Excise Tax Due,,,
416545,12/1/2014 - 12/31/2014,$40 ,$10 ,,,,,,,,,,
414115,12/1/2014 - 12/31/2014,$150 ,$38 ,,,,,,,,,,
412598,12/1/2014 - 12/31/2014,"$7,074 ","$1,769 ",,,,,,,,,,
PRODUCERS PERIOD TOTAL,12/1/2014 - 12/31/2014,"$614,575 ","$153,644 ",,,,,,,,,,
412043,1/1/2015 - 1/31/2015,"$13,590 ","$3,398 ",,,,,,,,,,
412552,1/1/2015 - 1/31/2015,$5 ,$1 ,,,,,,,,,,
413162,1/1/2015 - 1/31/2015,$0.02 ,$0.01 ,,,,,,,,,,
412601,1/1/2015 - 1/31/2015,"$3,687 ",$922 ,,,,,,,,,,
412337,1/1/2015 - 1/31/2015,$0.03 ,$0.01 ,,,,,,,,,,
412311,1/1/2015 - 1/31/2015,$0.14 ,$0.04 ,,,,,,,,,,
419959,1/1/2015 - 1/31/2015,$46 ,$12 ,,,,,,,,,,
412964,1/1/2015 - 1/31/2015,$608 ,$152 ,,,,,,,,,,
412053,1/1/2015 - 1/31/2015,$63 ,$16 ,,,,,,,,,,
412135,1/1/2015 - 1/31/2015,"$11,088 ","$2,772 ",,,,,,,,,,
413922,1/1/2015 - 1/31/2015,$10 ,$3 ,,,,,,,,,,
415707,1/1/2015 - 1/31/2015,$205 ,$51 ,,,,,,,,,,
416551,1/1/2015 - 1/31/2015,$450 ,$113 ,,,,,,,,,,
