scrape,wmsite,dateaccess,dispensaryname,address,city,zipcode
127,"http://weedmaps.com/deliveries/green-queen-organic-horticulture-hazel-dell","2016-05-22","Green Queen Organic Horticulture - Mt. Vista/Salmon Creek/Brush Prairie","DELIVERY ONLY, Vancouver, Washington 98686","Vancouver","98686"
101,"http://weedmaps.com/deliveries/herbalchoice","2015-11-22","Greenfly ","19011 68th ave S. STE A-110, Tukwila, WA 98188","Tukwila","98188"
127,"http://weedmaps.com/deliveries/honey-well","2016-05-22","Honey Well - Puyallup","DELIVERY ONLY, Puyallup, WA 98373","Puyallup","98373"
101,"http://weedmaps.com/deliveries/igreenlife","2015-11-22","Green Life Organics","Delivery Mercer Island, Mercer Island, WA 98040","Mercer Island","98040"
101,"http://weedmaps.com/deliveries/kind-for-cures","2015-11-22","Kind For Cures Foundation ","Vancouver Delivery, Vancouver, Washington 98664","Vancouver","98664"
127,"http://weedmaps.com/deliveries/kind-for-cures","2016-05-23","Kind For Cures Foundation ","DELIVERY ONLY, Vancouver, Washington 98664","Vancouver","98664"
127,"http://weedmaps.com/deliveries/master-peace-medibles","2016-05-23","Master Peace Medibles","DELIVERY ONLY, Marysville, WA 98270","Marysville","98270"
101,"http://weedmaps.com/deliveries/meangreens1","2015-11-22","Mean Greens ","jackson highway, chehalis, wa 98532","chehalis","98532"
127,"http://weedmaps.com/deliveries/meangreens1","2016-05-23","Mean Greens ","DELIVERY ONLY, chehalis, wa 98532","chehalis","98532"
101,"http://weedmaps.com/deliveries/medcan-delivery","2015-11-22","MedCan Delivery - Lynnwood 98036","DELIVERIES ONLY, Lynnwood, Mountlake Terrace, Edmonds, Bothell, Seattle, WA 98036, 98043, 98020, 98026, 98021, 98133, 98177","Lynnwood, Mountlake Terrace, Edmonds, Bothell, Seattle","98036, 98043, 98020, 98026, 98021, 98133, 98177"
101,"http://weedmaps.com/deliveries/medcan-delivery-3","2015-11-22","MedCan Delivery - Everett 98204","Snohomish County, Washington, Everett, Lynnwood, Mill Creek, Snohomish, Wa 98204, 98208, 98201, 98205, 98203, 98037, 98087, 98012","Everett, Lynnwood, Mill Creek, Snohomish","98204, 98208, 98201, 98205, 98203, 98037, 98087, 98012"
101,"http://weedmaps.com/deliveries/medcan-delivery-bellevue-kirkland","2015-11-22","MedCan Delivery - Bellevue 98004","Delivery Only, Bellevue, Kirkland, Juanita, Bothell, Woodinville, Redmond, Sammamish, Duvall, Issaquah, WA 98004, 98034, 98033, 98072","Bellevue, Kirkland, Juanita, Bothell, Woodinville, Redmond, Sammamish, Duvall, Issaquah","98004, 98034, 98033, 98072"
127,"http://weedmaps.com/deliveries/medcan-delivery-bellevue-kirkland","2016-05-22","MedCan Delivery - Bellevue ","DELIVERY ONLY, Bellevue, WA 98004","Bellevue","98004"
101,"http://weedmaps.com/deliveries/natural-alternatives-2","2015-11-22","Natural Alternatives - Serving Clark County","Medical Delivery Only, Vancouver, WA 98661","Vancouver","98661"
127,"http://weedmaps.com/deliveries/natural-alternatives-2","2016-05-22","Natural Alternatives - Serving Clark County","DELIVERY ONLY, Vancouver, WA 98661","Vancouver","98661"
101,"http://weedmaps.com/deliveries/northwest-canna-club","2015-11-21","NW Canna Club","32201 Kent Black Diamond Rd Unit#4, Auburn, WA 98092","Auburn","98092"
101,"http://weedmaps.com/deliveries/northwest-gardens-battle-ground","2015-11-22","Northwest Gardens - Battle Ground","DELIVERY ONLY, Battle Ground, WA 98604","Battle Ground","98604"
127,"http://weedmaps.com/deliveries/northwest-gardens-battle-ground","2016-05-22","Northwest Gardens - Battle Ground","DELIVERY ONLY, Battle Ground, WA 98604","Battle Ground","98604"
101,"http://weedmaps.com/deliveries/northwest-gardens-brush-prairie","2015-11-21","Northwest Gardens - Brush Prairie","DELIVERY ONLY, Brush Prairie, WA 98606","Brush Prairie","98606"
127,"http://weedmaps.com/deliveries/northwest-gardens-brush-prairie","2016-05-22","Northwest Gardens - Brush Prairie","DELIVERY ONLY, Brush Prairie, WA 98606","Brush Prairie","98606"
101,"http://weedmaps.com/deliveries/northwest-gardens-camas-mmj","2015-11-22","Northwest Gardens - Camas","DELIVERY ONLY, Camas, WA 98607","Camas","98607"
127,"http://weedmaps.com/deliveries/northwest-gardens-camas-mmj","2016-05-22","Northwest Gardens - Camas","DELIVERY ONLY, Camas, WA 98607","Camas","98607"
101,"http://weedmaps.com/deliveries/northwest-gardens-cascade-park-east","2015-11-22","Northwest Gardens - Cascade Park East","DELIVERY ONLY, Cascade Park East, WA 98683","Cascade Park East","98683"
127,"http://weedmaps.com/deliveries/northwest-gardens-cascade-park-east","2016-05-22","Northwest Gardens - Cascade Park East","DELIVERY ONLY, Cascade Park East, WA 98683","Cascade Park East","98683"
101,"http://weedmaps.com/deliveries/northwest-gardens-felida","2015-11-22","Northwest Gardens - Felida","DELIVERY ONLY, Felida, WA 98685","Felida","98685"
127,"http://weedmaps.com/deliveries/northwest-gardens-felida","2016-05-22","Northwest Gardens - Felida","DELIVERY ONLY, Felida, WA 98685","Felida","98685"
101,"http://weedmaps.com/deliveries/northwest-gardens-hazel-dell","2015-11-22","Northwest Gardens - Hazel Dell","DELIVERY ONLY, Hazel Dell, WA 98665","Hazel Dell","98665"
127,"http://weedmaps.com/deliveries/northwest-gardens-hazel-dell","2016-05-22","Northwest Gardens - Hazel Dell","DELIVERY ONLY, Hazel Dell, WA 98665","Hazel Dell","98665"
101,"http://weedmaps.com/deliveries/northwest-gardens-lake-shore","2015-11-22","Northwest Gardens - Lake Shore","DELIVERY ONLY, Lake Shore, WA 98665","Lake Shore","98665"
127,"http://weedmaps.com/deliveries/northwest-gardens-lake-shore","2016-05-22","Northwest Gardens - Lake Shore","DELIVERY ONLY, Lake Shore, WA 98665","Lake Shore","98665"
101,"http://weedmaps.com/deliveries/northwest-gardens-mill-plain","2015-11-22","Northwest Gardens - Mill Plain","DELIVERY ONLY, Mill Plain, WA 98683","Mill Plain","98683"
